Client ID,Category,Sale Date,Activation date,Activation Offset Days,Expiration Date,Total amount,Cash equivalent,Non-cash equivalent,Quantity
100000510,Massage Therapy,1/1/2018,1/1/2018,0,12/31/2018,$70.00 ,$70.00 ,$0.00 ,1
100000566,Immersions,1/3/2018,1/3/2018,0,1/3/2019,$75.00 ,$75.00 ,$0.00 ,1
100000524,Yoga,1/3/2018,1/3/2018,0,1/3/2019,$20.00 ,$20.00 ,$0.00 ,1
100000029,Massage Therapy,1/5/2018,1/5/2018,0,1/4/2019,$70.00 ,$70.00 ,$0.00 ,1
100000236,Massage Therapy,1/5/2018,1/5/2018,0,1/4/2019,$70.00 ,$70.00 ,$0.00 ,1
100000236,Massage Therapy,1/6/2018,1/6/2018,0,1/5/2019,$70.00 ,$70.00 ,$0.00 ,1
100000068,Immersions,1/7/2018,1/7/2018,0,1/7/2019,$75.00 ,$75.00 ,$0.00 ,1
100000511,Immersions,1/7/2018,1/7/2018,0,1/7/2019,$75.00 ,$75.00 ,$0.00 ,1
100000213,Massage Therapy,1/8/2018,1/8/2018,0,1/7/2019,$105.00 ,$105.00 ,$0.00 ,1
100000126,Yoga,1/9/2018,1/9/2018,0,1/9/2019,$200.00 ,$200.00 ,$0.00 ,1
100000058,Massage Therapy,1/9/2018,1/9/2018,0,1/8/2019,$70.00 ,$70.00 ,$0.00 ,1
100000004,Massage Therapy,1/9/2018,1/9/2018,0,1/8/2019,$120.00 ,$120.00 ,$0.00 ,1
100000525,Massage Therapy,1/9/2018,1/9/2018,0,1/8/2019,$70.00 ,$70.00 ,$0.00 ,1
100000473,Massage Therapy,1/9/2018,1/8/2018,-1,1/7/2019,$140.00 ,$140.00 ,$0.00 ,1
100000088,Massage Therapy,1/10/2018,1/10/2018,0,1/9/2019,$105.00 ,$105.00 ,$0.00 ,1
100000135,Massage Therapy,1/11/2018,1/11/2018,0,1/10/2019,$70.00 ,$70.00 ,$0.00 ,1
100000449,Massage Therapy,1/12/2018,1/12/2018,0,1/12/2019,$300.00 ,$300.00 ,$0.00 ,1
100000176,Massage Therapy,1/12/2018,1/12/2018,0,1/11/2018,$60.00 ,$60.00 ,$0.00 ,1
100000278,Massage Therapy,1/12/2018,1/12/2018,0,1/11/2018,$120.00 ,$120.00 ,$0.00 ,1
100000092,Massage Therapy,1/12/2018,1/12/2018,0,1/12/2019,$450.00 ,$450.00 ,$0.00 ,1
100000577,Massage Therapy,1/14/2018,1/14/2018,0,1/13/2019,$70.00 ,$70.00 ,$0.00 ,1
100000576,Massage Therapy,1/14/2018,1/14/2018,0,1/14/2019,$300.00 ,$300.00 ,$0.00 ,1
100000580,Yoga,1/15/2018,1/15/2018,0,1/15/2022,$80.00 ,$80.00 ,$0.00 ,1
100000575,Yoga,1/15/2018,1/15/2018,0,1/15/2019,$100.00 ,$100.00 ,$0.00 ,1
100000583,Yoga,1/15/2018,1/15/2018,0,1/15/2022,$80.00 ,$80.00 ,$0.00 ,1
100000002,Yoga,1/15/2018,1/15/2018,0,1/15/2019,$100.00 ,$100.00 ,$0.00 ,1
100000479,Yoga,1/15/2018,1/15/2018,0,1/15/2019,$20.00 ,$20.00 ,$0.00 ,1
100000113,Yoga,1/15/2018,8/30/2017,-138,8/30/2018,$100.00 ,$100.00 ,$0.00 ,1
100000582,Yoga,1/15/2018,1/15/2018,0,1/15/2019,$200.00 ,$200.00 ,$0.00 ,1
100000574,Massage Therapy,1/15/2018,1/15/2018,0,1/14/2019,$70.00 ,$70.00 ,$0.00 ,1
100000587,Yoga,1/15/2018,1/15/2018,0,1/15/2019,$100.00 ,$100.00 ,$0.00 ,1
100000586,Yoga,1/15/2018,1/15/2018,0,1/15/2019,$20.00 ,$20.00 ,$0.00 ,1
100000039,Massage Therapy,1/15/2018,1/15/2018,0,1/15/2019,$300.00 ,$300.00 ,$0.00 ,1
100000581,Yoga,1/15/2018,1/15/2018,0,1/15/2022,$80.00 ,$80.00 ,$0.00 ,1
100000578,Yoga,1/15/2018,1/15/2018,0,1/15/2019,$20.00 ,$20.00 ,$0.00 ,1
100000400,Yoga,1/16/2018,1/16/2018,0,1/16/2019,$200.00 ,$200.00 ,$0.00 ,1
100000437,Massage Therapy,1/16/2018,1/16/2018,0,1/15/2019,$95.00 ,$95.00 ,$0.00 ,1
100000113,Massage Therapy,1/16/2018,1/16/2018,0,1/16/2019,$350.00 ,$350.00 ,$0.00 ,1
100000590,Yoga,1/16/2018,1/16/2018,0,1/16/2019,$200.00 ,$200.00 ,$0.00 ,1
100000131,Massage Therapy,1/16/2018,1/16/2018,0,1/15/2019,$20.00 ,$20.00 ,$0.00 ,1
100000468,Yoga,1/16/2018,1/16/2018,0,1/16/2019,$100.00 ,$100.00 ,$0.00 ,1
100000593,Yoga,1/16/2018,1/16/2018,0,1/16/2019,$20.00 ,$20.00 ,$0.00 ,1
100000596,Yoga,1/17/2018,1/17/2018,0,1/17/2022,$80.00 ,$80.00 ,$0.00 ,1
