Date,Start time,End time,Client ID,Balance,Remaining,Scheduled Online,Status,Membership,Staff Alert,Yellow Alert,Unpaid Appointment,First Visit
1/1/2018,3:00 PM,3:45 PM,---,$0.00 ,---,No,,,,,No,No
1/2/2018,8:00 AM,12:15 PM,---,$0.00 ,---,No,,,,,No,No
1/3/2018,11:30 AM,4:00 PM,---,$0.00 ,---,No,,,,,No,No
1/4/2018,10:45 AM,11:55 AM,100000474,$0.00 ,3,No,No-Show,,,,Yes,No
1/4/2018,12:15 PM,1:45 PM,100000310,$0.00 ,0,No,No-Show,,,,Yes,No
1/5/2018,7:30 AM,9:00 AM,100000310,$0.00 ,0,No,No-Show,,,,Yes,No
1/5/2018,9:00 AM,10:40 AM,100000029,$0.00 ,0,No,Completed,,,,No,No
1/5/2018,12:30 PM,1:30 PM,100000236,$0.00 ,0,No,Completed,,,,No,No
1/5/2018,1:30 PM,3:10 PM,100000116,$0.00 ,0,No,Completed,,,,No,No
1/5/2018,3:15 PM,4:55 PM,100000092,$0.00 ,0,No,Completed,,,,No,No
1/8/2018,7:00 AM,8:45 AM,100000473,$0.00 ,0,No,Completed,,,,No,No
1/8/2018,9:00 AM,10:30 AM,100000113,$0.00 ,0,No,Completed,,,,No,No
1/8/2018,12:00 PM,2:10 PM,100000009,$0.00 ,1,Yes,Completed,,,,No,No
1/8/2018,2:15 PM,3:55 PM,100000522,$0.00 ,0,Yes,Completed,,,,No,No
1/9/2018,8:00 AM,9:30 AM,100000020,$0.00 ,4,No,Completed,,,,No,No
1/9/2018,8:00 AM,12:00 PM,---,$0.00 ,---,No,,,,,No,No
1/9/2018,9:30 AM,10:30 AM,100000525,$0.00 ,0,No,Completed,,,,No,No
1/9/2018,10:30 AM,12:00 PM,100000126,$0.00 ,0,No,Completed,,,,No,No
1/9/2018,12:00 PM,1:30 PM,---,$0.00 ,---,No,,,,,No,No
1/9/2018,1:30 PM,3:40 PM,100000004,($250.00),0,No,Completed,,,,No,No
1/9/2018,3:45 PM,4:55 PM,100000306,$0.00 ,0,No,Completed,,,,No,Yes
1/9/2018,5:00 PM,7:00 PM,100000301,$0.00 ,0,No,Completed,,,,No,No
1/10/2018,10:45 AM,11:45 AM,100000039,$0.00 ,1,Yes,Completed,,,,No,No
1/10/2018,12:00 PM,2:10 PM,100000009,$0.00 ,1,Yes,Completed,,,,No,No
1/10/2018,2:30 PM,4:00 PM,100000088,$0.00 ,0,No,Completed,,,,No,No
1/11/2018,7:45 AM,8:55 AM,100000495,$0.00 ,0,No,Completed,,,,No,No
1/11/2018,9:00 AM,10:30 AM,100000159,$0.00 ,0,No,Completed,,,,No,No
1/11/2018,9:15 AM,10:15 AM,---,$0.00 ,---,No,,,,,No,No
1/11/2018,10:15 AM,1:45 PM,---,$0.00 ,---,No,,,,,No,No
